Male_parent,Female_parent,Replicate,White_Phenotype,Fluorescence,Number
ZpgGD/w+,w-/w-,1,White Eyes,DsRed positive,335
ZpgGD/w+,w-/w-,1,Red Eyes,DsRed positive,0
ZpgGD/w+,w-/w-,1,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w-/w-,1,White Eyes,DsRed negative,85
ZpgGD/w+,w-/w-,1,Red Eyes,DsRed negative,152
ZpgGD/w+,w-/w-,1,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w-/w-,2,White Eyes,DsRed positive,199
ZpgGD/w+,w-/w-,2,Red Eyes,DsRed positive,0
ZpgGD/w+,w-/w-,2,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w-/w-,2,White Eyes,DsRed negative,52
ZpgGD/w+,w-/w-,2,Red Eyes,DsRed negative,102
ZpgGD/w+,w-/w-,2,Mosaic Eyes,DsRed negative,0
w-/w-,ZpgGD/w+,1,White Eyes,DsRed positive,463
w-/w-,ZpgGD/w+,1,Red Eyes,DsRed positive,0
w-/w-,ZpgGD/w+,1,Mosaic Eyes,DsRed positive,0
w-/w-,ZpgGD/w+,1,White Eyes,DsRed negative,62
w-/w-,ZpgGD/w+,1,Red Eyes,DsRed negative,43
w-/w-,ZpgGD/w+,1,Mosaic Eyes,DsRed negative,0
w-/w-,ZpgGD/w+,2,White Eyes,DsRed positive,366
w-/w-,ZpgGD/w+,2,Red Eyes,DsRed positive,0
w-/w-,ZpgGD/w+,2,Mosaic Eyes,DsRed positive,0
w-/w-,ZpgGD/w+,2,White Eyes,DsRed negative,28
w-/w-,ZpgGD/w+,2,Red Eyes,DsRed negative,42
w-/w-,ZpgGD/w+,2,Mosaic Eyes,DsRed negative,0
