Male_parent,Female_parent,Replicate,White_Phenotype,Fluorescence,Number
VasaGD/w+,w+/w+,9,Mosaic Eyes,DsRed positive,14
VasaGD/w+,w+/w+,9,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,9,Red Eyes,DsRed negative,133
VasaGD/w+,w+/w+,9,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w+/w+,10,White Eyes,DsRed positive,5
VasaGD/w+,w+/w+,10,Red Eyes,DsRed positive,305
VasaGD/w+,w+/w+,10,Mosaic Eyes,DsRed positive,28
VasaGD/w+,w+/w+,10,White Eyes,DsRed negative,0
VasaGD/w+,w+/w+,10,Red Eyes,DsRed negative,114
VasaGD/w+,w+/w+,10,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,1,White Eyes,DsRed positive,222
w+/w+,VasaGD/w+,1,Red Eyes,DsRed positive,0
w+/w+,VasaGD/w+,1,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,1,White Eyes,DsRed negative,74
w+/w+,VasaGD/w+,1,Red Eyes,DsRed negative,0
w+/w+,VasaGD/w+,1,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,2,White Eyes,DsRed positive,171
w+/w+,VasaGD/w+,2,Red Eyes,DsRed positive,0
w+/w+,VasaGD/w+,2,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,2,White Eyes,DsRed negative,22
w+/w+,VasaGD/w+,2,Red Eyes,DsRed negative,0
w+/w+,VasaGD/w+,2,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,3,White Eyes,DsRed positive,161
w+/w+,VasaGD/w+,3,Red Eyes,DsRed positive,0
w+/w+,VasaGD/w+,3,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,3,White Eyes,DsRed negative,63
w+/w+,VasaGD/w+,3,Red Eyes,DsRed negative,0
w+/w+,VasaGD/w+,3,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,4,White Eyes,DsRed positive,171
w+/w+,VasaGD/w+,4,Red Eyes,DsRed positive,0
w+/w+,VasaGD/w+,4,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,4,White Eyes,DsRed negative,37
w+/w+,VasaGD/w+,4,Red Eyes,DsRed negative,0
w+/w+,VasaGD/w+,4,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,5,White Eyes,DsRed positive,266
w+/w+,VasaGD/w+,5,Red Eyes,DsRed positive,8
w+/w+,VasaGD/w+,5,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,5,White Eyes,DsRed negative,67
w+/w+,VasaGD/w+,5,Red Eyes,DsRed negative,10
w+/w+,VasaGD/w+,5,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,6,White Eyes,DsRed positive,161
w+/w+,VasaGD/w+,6,Red Eyes,DsRed positive,2
w+/w+,VasaGD/w+,6,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,6,White Eyes,DsRed negative,32
w+/w+,VasaGD/w+,6,Red Eyes,DsRed negative,3
w+/w+,VasaGD/w+,6,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,7,White Eyes,DsRed positive,278
w+/w+,VasaGD/w+,7,Red Eyes,DsRed positive,11
w+/w+,VasaGD/w+,7,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,7,White Eyes,DsRed negative,110
w+/w+,VasaGD/w+,7,Red Eyes,DsRed negative,31
w+/w+,VasaGD/w+,7,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,8,White Eyes,DsRed positive,229
w+/w+,VasaGD/w+,8,Red Eyes,DsRed positive,22
w+/w+,VasaGD/w+,8,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,8,White Eyes,DsRed negative,33
w+/w+,VasaGD/w+,8,Red Eyes,DsRed negative,20
w+/w+,VasaGD/w+,8,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,9,White Eyes,DsRed positive,99
w+/w+,VasaGD/w+,9,Red Eyes,DsRed positive,0
w+/w+,VasaGD/w+,9,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,9,White Eyes,DsRed negative,28
w+/w+,VasaGD/w+,9,Red Eyes,DsRed negative,4
w+/w+,VasaGD/w+,9,Mosaic Eyes,DsRed negative,0
w+/w+,VasaGD/w+,10,White Eyes,DsRed positive,87
w+/w+,VasaGD/w+,10,Red Eyes,DsRed positive,12
w+/w+,VasaGD/w+,10,Mosaic Eyes,DsRed positive,0
w+/w+,VasaGD/w+,10,White Eyes,DsRed negative,19
w+/w+,VasaGD/w+,10,Red Eyes,DsRed negative,10
w+/w+,VasaGD/w+,10,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,1,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,1,Red Eyes,DsRed positive,213
NanosGD/w+,w+/w+,1,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,1,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,1,Red Eyes,DsRed negative,233
NanosGD/w+,w+/w+,1,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,2,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,2,Red Eyes,DsRed positive,119
NanosGD/w+,w+/w+,2,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,2,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,2,Red Eyes,DsRed negative,113
NanosGD/w+,w+/w+,2,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,3,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,3,Red Eyes,DsRed positive,139
NanosGD/w+,w+/w+,3,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,3,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,3,Red Eyes,DsRed negative,146
NanosGD/w+,w+/w+,3,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,4,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,4,Red Eyes,DsRed positive,34
NanosGD/w+,w+/w+,4,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,4,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,4,Red Eyes,DsRed negative,25
NanosGD/w+,w+/w+,4,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,5,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,5,Red Eyes,DsRed positive,201
NanosGD/w+,w+/w+,5,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,5,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,5,Red Eyes,DsRed negative,217
NanosGD/w+,w+/w+,5,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,6,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,6,Red Eyes,DsRed positive,74
NanosGD/w+,w+/w+,6,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,6,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,6,Red Eyes,DsRed negative,73
NanosGD/w+,w+/w+,6,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,7,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,7,Red Eyes,DsRed positive,244
NanosGD/w+,w+/w+,7,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w+/w+,7,White Eyes,DsRed negative,0
NanosGD/w+,w+/w+,7,Red Eyes,DsRed negative,242
NanosGD/w+,w+/w+,7,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w+/w+,8,White Eyes,DsRed positive,0
NanosGD/w+,w+/w+,8,Red Eyes,DsRed positive,132
NanosGD/w+,w+/w+,8,Mosaic Eyes,DsRed positive,0
